patent_abstract,patent_date,patent_kind,patent_number,patent_title,patent_year
NULL,2003-09-30,S1,D480154,"""House fa<CUSTOM-CHARACTER FILE=""""USD0480154-20030930-P00701.TIF"""" ALT=""""custom character"""" HE=""""20"""" WI=""""20"""" ID=""""CUSTOM-CHARACTER-00001""""/>ade""",2003
NULL,2003-09-30,S1,D480155,"""House fa<CUSTOM-CHARACTER FILE=""""USD0480155-20030930-P00701.TIF"""" ALT=""""custom character"""" HE=""""20"""" WI=""""20"""" ID=""""CUSTOM-CHARACTER-00001""""/>ade""",2003
"Pairs of liquid crystal display pixel electrodes are fabricated to commonly share a capacitor electrode in the shape of an ""H"" character which overlaps along periphery portions of the corresponding two pixel electrodes, except for periphery portions thereof respectively connected to corresponding switching devices.",2000-03-21,A,6040882,"""Liquid crystal display device having """"H"""" character common electrode and method of fabricating thereof""",2000
NULL,2004-02-03,S1,D486241,"""Portion of an overhead garage door fa<CUSTOM-CHARACTER FILE=""""USD0486241-20040203-P00701.TIF"""" ALT=""""custom character"""" HE=""""20"""" WI=""""20"""" ID=""""CUSTOM-CHARACTER-00001""""/>ade""",2004
"A form analyzing unit receives 2-D outline data stored in an outline data storing unit via an outline data obtaining unit, and judges from the received 2-D outline data whether an outline of a character includes an outline of a hole formed in the character. If so, a top/bottom dividing unit divides an area surrounded by the two outlines into convex polygons. A side generating unit moves each divided structure element in a z-axis direction to generate a side plane of the 3-D character, and generates 3-D data for the character.",2005-02-01,B2,6850239,3-D character data generating device and a 3-D graphics data generating device,2005
None,2020-09-01,S1,D895027,3-dimensional character,2020
None,2015-06-23,S1,D732611,3D character,2015
"The present invention has an object to enrich expression of contents of an e-mail message. In a mobile phone (1), text data (TxD) is input, and a 3D authoring operation is carried out. The text data (TxD) and 3D authoring instruction data (DD) are transmitted from the mobile phone (1) to a server (3), and then, scenario data (SD) which is control information about 3D graphics is generated in the server (3). The text data (TxD) and scenario data (SD) are stored in the server (3) as 3D message information (MD). When access information to the 3D message information (MD) is notified from the mobile phone (1) to a mobile phone (2), the mobile phone (2) makes access to the server (3) to download the 3D message information (MD) and a necessary 3D font. 3D character mail is thereby reproduced in the mobile phone (2).",2015-09-08,B2,9129261,3D character mail system,2015
"A system, method, and software product provide an efficient mechanism for rendering characters for computer based animation. The operation of the system is particularly well suited to the rendering of scenes of large numbers of characters, such as scenes of large crowds. The system uses a stroke based character model for a character, which is a collection of strokes, defined in a three dimensional coordinate system of a character, and associated with a geometric model of the character. This stroke model of the character and its association to the geometric model enables the strokes to move or change position over time as the character moves. The stroke model reduces the amount of data needed to accurately represent the character, particularly its shadows and silhouettes. Using the stroke models for many instances of characters within a frame or sequence of frames of animation, the system determines the positions of the characters in a global coordinate system in the frame, and then determines the respective positions of the stroke models of the characters, also in the global coordinate system. This collection of strokes is then input into a renderer, along with a camera model and a lighting model in order to render a final image of a frame or frame sequence. A preferred renderer is a particle renderer which draws each stroke through a series of control points which define the stroke.",2001-12-04,A,6326972,3D stroke-based character modeling suitable for efficiently rendering large crowds,2001
"A disposable absorbent article may include a chassis, an absorbent core, a pair of elastically elongatable ears and a pair of fastening tabs. The elastically elongatable ears and the fastening tabs have a transverse axis. The ears are connected to the chassis such that the transverse axis of the fastening tabs is located in specific portions of the article. The absorbent core is free of cellulosic fibers.",2013-06-04,B2,8454572,Absorbent article with improved garment-like character,2013
